City,Province,Year,Month,Weather_Variable,Pollutant,Correlation
ST. LEONARD,NEW BRUNSWICK,2016,10,Mean Temp (°C),CO,
ST. LEONARD,NEW BRUNSWICK,2016,10,Mean Temp (°C),O3,0.2119292851323194
ST. LEONARD,NEW BRUNSWICK,2016,10,Mean Temp (°C),SO2,
ST. LEONARD,NEW BRUNSWICK,2016,10,Total Rain (mm),PM2.5,
ST. LEONARD,NEW BRUNSWICK,2016,10,Total Rain (mm),PM10,
ST. LEONARD,NEW BRUNSWICK,2016,10,Total Rain (mm),NO2,
ST. LEONARD,NEW BRUNSWICK,2016,10,Total Rain (mm),CO,
ST. LEONARD,NEW BRUNSWICK,2016,10,Total Rain (mm),O3,-0.17972432665691127
ST. LEONARD,NEW BRUNSWICK,2016,10,Total Rain (mm),SO2,
ST. LEONARD,NEW BRUNSWICK,2016,10,Total Snow (cm),PM2.5,
ST. LEONARD,NEW BRUNSWICK,2016,10,Total Snow (cm),PM10,
ST. LEONARD,NEW BRUNSWICK,2016,10,Total Snow (cm),NO2,
ST. LEONARD,NEW BRUNSWICK,2016,10,Total Snow (cm),CO,
ST. LEONARD,NEW BRUNSWICK,2016,10,Total Snow (cm),O3,-0.002069181232815596
ST. LEONARD,NEW BRUNSWICK,2016,10,Total Snow (cm),SO2,
ST. LEONARD,NEW BRUNSWICK,2016,10,Spd of Max Gust (km/h),PM2.5,
ST. LEONARD,NEW BRUNSWICK,2016,10,Spd of Max Gust (km/h),PM10,
ST. LEONARD,NEW BRUNSWICK,2016,10,Spd of Max Gust (km/h),NO2,
ST. LEONARD,NEW BRUNSWICK,2016,10,Spd of Max Gust (km/h),CO,
ST. LEONARD,NEW BRUNSWICK,2016,10,Spd of Max Gust (km/h),O3,
ST. LEONARD,NEW BRUNSWICK,2016,10,Spd of Max Gust (km/h),SO2,
ST. LEONARD,NEW BRUNSWICK,2016,11,Mean Temp (°C),PM2.5,
ST. LEONARD,NEW BRUNSWICK,2016,11,Mean Temp (°C),PM10,
ST. LEONARD,NEW BRUNSWICK,2016,11,Mean Temp (°C),NO2,
ST. LEONARD,NEW BRUNSWICK,2016,11,Mean Temp (°C),CO,
