Climate ID,Year,Month,YearMonth,MeanMonthlyTemp_C
8100300,2015,7,2015-07,18.3625
8100300,2015,8,2015-08,20.509999999999998
8100300,2015,9,2015-09,16.326666666666668
8100300,2015,10,2015-10,6.009677419354839
8100300,2015,11,2015-11,2.04
8100300,2015,12,2015-12,-1.26
8100300,2016,1,2016-01,-7.845833333333334
8100300,2016,2,2016-02,-7.062962962962963
8100300,2016,9,2016-09,14.23
8100300,2016,10,2016-10,7.696666666666667
8100300,2016,11,2016-11,2.2185185185185183
8100300,2016,12,2016-12,-8.008695652173913
8100300,2017,4,2017-04,4.8730769230769235
8100300,2017,5,2017-05,11.006451612903225
8100300,2017,6,2017-06,16.083333333333332
8100300,2017,7,2017-07,18.719354838709677
8100300,2017,8,2017-08,16.98709677419355
8100300,2017,9,2017-09,15.996666666666668
8100300,2017,10,2017-10,10.470967741935485
8100300,2017,11,2017-11,-0.46666666666666656
8100300,2017,12,2017-12,-10.106451612903227
8100300,2018,1,2018-01,-11.26774193548387
8100300,2018,2,2018-02,-6.664285714285714
8100300,2018,3,2018-03,-1.5096774193548388
8100300,2018,4,2018-04,2.4166666666666665
8100300,2018,5,2018-05,11.235483870967743
8100300,2018,6,2018-06,14.189655172413794
8100300,2018,7,2018-07,21.432258064516127
8100300,2018,8,2018-08,20.256666666666668
8100300,2018,9,2018-09,14.899999999999999
8100300,2018,10,2018-10,4.1066666666666665
8100300,2018,11,2018-11,-2.6733333333333333
8100300,2018,12,2018-12,-8.329032258064515
8100300,2019,1,2019-01,-12.583870967741936
8100300,2019,2,2019-02,-12.184615384615386
8100300,2019,3,2019-03,-4.774193548387097
8100300,2019,4,2019-04,3.39
8100300,2019,5,2019-05,9.138709677419355
8100300,2019,6,2019-06,15.513333333333334
8100300,2019,7,2019-07,19.662068965517243
8100300,2019,8,2019-08,17.571428571428573
8100300,2019,9,2019-09,12.19
8100300,2019,10,2019-10,7.951612903225806
8100300,2019,11,2019-11,-2.1233333333333335
8100300,2019,12,2019-12,-6.455172413793103
8100300,2020,1,2020-01,-9.080645161290322
8100300,2020,2,2020-02,-8.275862068965518
8100300,2020,3,2020-03,-3.060714285714286
8100300,2020,4,2020-04,2.875
8100300,2020,5,2020-05,10.593548387096773
8100300,2020,6,2020-06,17.32
8100300,2020,7,2020-07,20.770967741935483
8100300,2020,8,2020-08,19.029032258064515
8100300,2020,9,2020-09,12.666666666666666
8100300,2020,10,2020-10,7.338709677419355
8100300,2020,11,2020-11,2.68
8100300,2020,12,2020-12,-2.9967741935483874
8100300,2021,1,2021-01,-6.987096774193549
8100300,2021,2,2021-02,-8.960714285714285
8100300,2021,3,2021-03,-3.170967741935484
8100300,2021,4,2021-04,5.8533333333333335
8100300,2021,5,2021-05,10.932258064516128
8100300,2021,6,2021-06,17.959999999999997
8100300,2021,7,2021-07,17.96896551724138
8100300,2021,8,2021-08,20.693548387096776
8100300,2021,9,2021-09,14.866666666666667
8100300,2021,10,2021-10,10.060714285714285
8100300,2021,11,2021-11,1.4200000000000002
8100300,2021,12,2021-12,-6.025806451612904
8100300,2022,1,2022-01,-14.251612903225807
8100300,2022,2,2022-02,-9.325000000000001
8100300,2022,3,2022-03,-2.903225806451613
8100300,2022,4,2022-04,4.113333333333333
8100300,2022,5,2022-05,11.935483870967742
8100300,2022,6,2022-06,15.586666666666668
8100300,2022,7,2022-07,19.567741935483873
8100300,2022,8,2022-08,19.44516129032258
8100300,2022,9,2022-09,14.513333333333334
8100300,2022,10,2022-10,10.138709677419355
8100300,2022,11,2022-11,1.7033333333333334
8100300,2022,12,2022-12,-2.638709677419355
8100300,2023,1,2023-01,-5.666666666666667
